site_no
01464400
01491000
01591000
01594000
01594440
01594526
01594670
01594710
01668000
01673000
01674500
02035000
02037618
02041650
02292900
02297330
03303280
03352875
03374100
03438500
03609750
03612500
040851385
04086500
04086600
04087000
04087170
05117500
05122000
05123400
05320500
05412500
05418600
05422000
05451210
05457470
05457700
05458150
05458500
05458900
05462000
05463050
05464090
05464220
05464302
05464315
0546431750
05464420
05464480
05464765
05465500
05474000
05490500
05531500
05538008
05549500
06453305
06607500
06609500
06810000
06887500
06888300
06888350
06888705
06889000
06890900
06891000
06891080
06891100
06892350
06934500
07048700
07048800
07049050
07061600
07143672
07144100
07144780
07249985
07257696
072632977
07288955
08067900
08110075
08154700
08155200
08155240
08155300
11262900
11303500
11488495
11488510
13088510
14206200
14206241
14206295
14206425
14206450
14206500
14206690
14206740
14206750
14206950
14206960
14207050
14207600
14211720
264115081473200
264257081454100
265022081045000
300403089481300
394340085524601
415950121463701
420451121510000
452301122442301
453214122512501
