agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime
USGS,05464090,2000-11-14,14:30,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3220207 tpc=100ml, pic=100ml, poc=100ml, chy=100ml",00600,NA,7.8,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-14T14:30:00Z
USGS,05464090,2000-11-14,14:30,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3220207 tpc=100ml, pic=100ml, poc=100ml, chy=100ml",00602,NA,7.6,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-14T14:30:00Z
USGS,05464090,2000-11-14,14:30,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3220207 tpc=100ml, pic=100ml, poc=100ml, chy=100ml",00605,NA,0.58,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-14T14:30:00Z
USGS,05464090,2000-11-14,14:30,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3220207 tpc=100ml, pic=100ml, poc=100ml, chy=100ml",00607,NA,0.37,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-14T14:30:00Z
USGS,05464090,2000-11-14,14:30,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3220207 tpc=100ml, pic=100ml, poc=100ml, chy=100ml",00608,NA,0.04,NA,CL037,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-14T14:30:00Z
USGS,05464090,2000-11-14,14:30,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3220207 tpc=100ml, pic=100ml, poc=100ml, chy=100ml",00613,NA,0.017,NA,CL041,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-14T14:30:00Z
USGS,05464090,2000-11-14,14:30,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3220207 tpc=100ml, pic=100ml, poc=100ml, chy=100ml",00618,NA,7.14,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-14T14:30:00Z
USGS,05464090,2000-11-14,14:30,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3220207 tpc=100ml, pic=100ml, poc=100ml, chy=100ml",00623,NA,0.41,NA,KJ002,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-14T14:30:00Z
USGS,05464090,2000-11-14,14:30,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3220207 tpc=100ml, pic=100ml, poc=100ml, chy=100ml",00625,NA,0.63,NA,KJ008,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-14T14:30:00Z
USGS,05464090,2000-11-14,14:30,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3220207 tpc=100ml, pic=100ml, poc=100ml, chy=100ml",00631,NA,7.16,NA,CL048,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-14T14:30:00Z
USGS,05464090,2000-11-14,14:30,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3220207 tpc=100ml, pic=100ml, poc=100ml, chy=100ml",49570,NA,0.193,NA,COMB7,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-14T14:30:00Z
USGS,05464090,2000-11-14,14:30,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3220207 tpc=100ml, pic=100ml, poc=100ml, chy=100ml",70953,NA,12.7,NA,FL008,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-14T14:30:00Z
USGS,05464090,2001-05-25,16:00,NA,NA,CDT,T,USGS-WRD,WS,461907400,NA,NA,NA,9,9,9,"A-1510044 tpc=50, pic=50, poc=50",00600,NA,10,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-05-25T16:00:00Z
USGS,05464090,2001-05-25,16:00,NA,NA,CDT,T,USGS-WRD,WS,461907400,NA,NA,NA,9,9,9,"A-1510044 tpc=50, pic=50, poc=50",00602,NA,9.5,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-05-25T16:00:00Z
USGS,05464090,2001-05-25,16:00,NA,NA,CDT,T,USGS-WRD,WS,461907400,NA,NA,NA,9,9,9,"A-1510044 tpc=50, pic=50, poc=50",00605,<,0.96,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-05-25T16:00:00Z
USGS,05464090,2001-05-25,16:00,NA,NA,CDT,T,USGS-WRD,WS,461907400,NA,NA,NA,9,9,9,"A-1510044 tpc=50, pic=50, poc=50",00607,<,0.37,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2001-05-25T16:00:00Z
