agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime,endDateTime
USGS,01594000,1985-09-05,11:10,NA,NA,EST,T,USGS-WRD,WS,442400310,NA,NA,NA,9,9,9,      . . .   .,00600,NA,1.2,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-09-05T11:10:00Z,NA
USGS,01594000,1985-09-05,11:10,NA,NA,EST,T,USGS-WRD,WS,442400310,NA,NA,NA,9,9,9,      . . .   .,00602,NA,1.2,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-09-05T11:10:00Z,NA
USGS,01594000,1985-09-05,11:10,NA,NA,EST,T,USGS-WRD,WS,442400310,NA,NA,NA,9,9,9,      . . .   .,00605,NA,0.33,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-09-05T11:10:00Z,NA
USGS,01594000,1985-09-05,11:10,NA,NA,EST,T,USGS-WRD,WS,442400310,NA,NA,NA,9,9,9,      . . .   .,00607,NA,0.38,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-09-05T11:10:00Z,NA
USGS,01594000,1985-09-05,11:10,NA,NA,EST,T,USGS-WRD,WS,442400310,NA,NA,NA,9,9,9,      . . .   .,00608,NA,0.02,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-09-05T11:10:00Z,NA
USGS,01594000,1985-09-05,11:10,NA,NA,EST,T,USGS-WRD,WS,442400310,NA,NA,NA,9,9,9,      . . .   .,00613,NA,0.012,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-09-05T11:10:00Z,NA
USGS,01594000,1985-09-05,11:10,NA,NA,EST,T,USGS-WRD,WS,442400310,NA,NA,NA,9,9,9,      . . .   .,00618,NA,0.838,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-09-05T11:10:00Z,NA
USGS,01594000,1985-09-05,11:10,NA,NA,EST,T,USGS-WRD,WS,442400310,NA,NA,NA,9,9,9,      . . .   .,00623,NA,0.4,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-09-05T11:10:00Z,NA
USGS,01594000,1985-09-05,11:10,NA,NA,EST,T,USGS-WRD,WS,442400310,NA,NA,NA,9,9,9,      . . .   .,00625,NA,0.35,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-09-05T11:10:00Z,NA
USGS,01594000,1985-09-05,11:10,NA,NA,EST,T,USGS-WRD,WS,442400310,NA,NA,NA,9,9,9,      . . .   .,00631,NA,0.85,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-09-05T11:10:00Z,NA
