agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime
USGS,01668000,1967-10-04,NA,NA,NA,EDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.068,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,01668000,1967-11-07,13:00,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.068,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967-11-07T13:00:00Z
USGS,01668000,1967-12-11,13:45,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.858,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967-12-11T13:45:00Z
USGS,01668000,1967-12-21,11:30,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.429,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1967-12-21T11:30:00Z
USGS,01668000,1968-01-16,11:15,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.723,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968-01-16T11:15:00Z
USGS,01668000,1968-02-01,10:15,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.587,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968-02-01T10:15:00Z
USGS,01668000,1968-02-09,10:00,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.61,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968-02-09T10:00:00Z
USGS,01668000,1968-03-13,10:40,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.542,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968-03-13T10:40:00Z
USGS,01668000,1968-03-29,10:25,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.339,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1968-03-29T10:25:00Z
USGS,01668000,1968-04-01,NA,1968-04-10,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.181,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,01668000,1968-04-11,NA,1968-04-20,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.113,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,01668000,1968-04-21,NA,1968-04-30,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.158,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,01668000,1968-05-01,NA,1968-05-10,NA,EDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.136,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,01668000,1968-05-11,NA,1968-05-20,NA,EDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.316,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,01668000,1968-05-21,NA,1968-05-31,NA,EDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.452,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,01668000,1968-06-01,NA,1968-06-10,NA,EDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.565,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,01668000,1968-06-11,NA,1968-06-20,NA,EDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.565,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,01668000,1968-06-21,NA,1968-06-30,NA,EDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.7,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,01668000,1968-07-01,NA,1968-07-10,NA,EDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.587,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
