agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime,endDateTime
USGS,01594710,1985-10-08,12:30,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,32230,NA,0.119,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-10-08T12:30:00Z,NA
USGS,01594710,1985-10-08,12:30,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,32231,NA,0.053,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-10-08T12:30:00Z,NA
USGS,01594710,1985-10-08,12:30,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,32232,NA,0.159,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-10-08T12:30:00Z,NA
USGS,01594710,1985-12-11,14:40,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00600,NA,1.5,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:40:00Z,NA
USGS,01594710,1985-12-11,14:40,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00602,NA,1.4,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:40:00Z,NA
USGS,01594710,1985-12-11,14:40,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00605,NA,0.28,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:40:00Z,NA
USGS,01594710,1985-12-11,14:40,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00607,NA,0.2,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:40:00Z,NA
USGS,01594710,1985-12-11,14:40,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00608,NA,0.05,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:40:00Z,NA
USGS,01594710,1985-12-11,14:40,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00613,NA,0.007,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:40:00Z,NA
USGS,01594710,1985-12-11,14:40,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00618,NA,1.19,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:40:00Z,NA
USGS,01594710,1985-12-11,14:40,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00623,NA,0.25,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:40:00Z,NA
USGS,01594710,1985-12-11,14:40,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00625,NA,0.33,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:40:00Z,NA
USGS,01594710,1985-12-11,14:40,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00631,NA,1.2,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:40:00Z,NA
USGS,01594710,1985-12-11,14:40,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,32230,NA,0.344,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:40:00Z,NA
USGS,01594710,1985-12-11,14:40,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,32231,NA,0.276,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:40:00Z,NA
USGS,01594710,1985-12-11,14:40,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,32232,NA,0.393,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:40:00Z,NA
USGS,01594710,1985-12-11,14:45,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00600,NA,1.6,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:45:00Z,NA
USGS,01594710,1985-12-11,14:45,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00602,NA,1.4,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:45:00Z,NA
USGS,01594710,1985-12-11,14:45,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00605,NA,0.3,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:45:00Z,NA
USGS,01594710,1985-12-11,14:45,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00607,NA,0.2,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:45:00Z,NA
USGS,01594710,1985-12-11,14:45,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00608,NA,0.05,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:45:00Z,NA
USGS,01594710,1985-12-11,14:45,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00613,NA,0.006,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:45:00Z,NA
USGS,01594710,1985-12-11,14:45,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00618,NA,1.19,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:45:00Z,NA
USGS,01594710,1985-12-11,14:45,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00623,NA,0.25,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:45:00Z,NA
USGS,01594710,1985-12-11,14:45,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00625,NA,0.35,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:45:00Z,NA
USGS,01594710,1985-12-11,14:45,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,00631,NA,1.2,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:45:00Z,NA
USGS,01594710,1985-12-11,14:45,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,32230,NA,0.345,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:45:00Z,NA
USGS,01594710,1985-12-11,14:45,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,32231,NA,0.255,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:45:00Z,NA
USGS,01594710,1985-12-11,14:45,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,      . . .   .,32232,NA,0.697,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1985-12-11T14:45:00Z,NA
USGS,01594710,1986-03-11,10:30,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,        PNPS PAA12,00600,NA,1.4,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-03-11T10:30:00Z,NA
USGS,01594710,1986-03-11,10:30,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,        PNPS PAA12,00602,<,1.2,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-03-11T10:30:00Z,NA
USGS,01594710,1986-03-11,10:30,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,        PNPS PAA12,00605,NA,0.27,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-03-11T10:30:00Z,NA
USGS,01594710,1986-03-11,10:30,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,        PNPS PAA12,00607,<,0.07,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-03-11T10:30:00Z,NA
USGS,01594710,1986-03-11,10:30,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,        PNPS PAA12,00608,NA,0.03,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-03-11T10:30:00Z,NA
USGS,01594710,1986-03-11,10:30,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,        PNPS PAA12,00613,NA,0.006,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-03-11T10:30:00Z,NA
USGS,01594710,1986-03-11,10:30,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,        PNPS PAA12,00618,NA,1.09,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-03-11T10:30:00Z,NA
USGS,01594710,1986-03-11,10:30,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,        PNPS PAA12,00623,<,0.1,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-03-11T10:30:00Z,NA
USGS,01594710,1986-03-11,10:30,NA,NA,EST,T,USGS-WRD,WS,442408000,NA,NA,NA,A,9,9,        PNPS PAA12,00625,NA,0.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1986-03-11T10:30:00Z,NA
