agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime
USGS,04086500,1966-12-05,NA,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,1.97,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,04086500,1967-04-25,NA,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,1.31,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,04086500,1991-06-12,08:46,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,32210,NA,15,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-06-12T08:46:00Z
USGS,04086500,1991-08-06,09:05,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,32210,NA,5,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1991-08-06T09:05:00Z
USGS,04086500,1994-09-28,09:30,NA,NA,CDT,T,USGS-WRD,WS,445517400,NA,NA,NA,9,9,9,NA,00600,NA,1.7,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-09-28T09:30:00Z
USGS,04086500,1994-09-28,09:30,NA,NA,CDT,T,USGS-WRD,WS,445517400,NA,NA,NA,9,9,9,NA,00602,NA,1.6,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-09-28T09:30:00Z
USGS,04086500,1994-09-28,09:30,NA,NA,CDT,T,USGS-WRD,WS,445517400,NA,NA,NA,9,9,9,NA,00605,NA,0.44,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-09-28T09:30:00Z
USGS,04086500,1994-09-28,09:30,NA,NA,CDT,T,USGS-WRD,WS,445517400,NA,NA,NA,9,9,9,NA,00607,NA,0.34,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-09-28T09:30:00Z
USGS,04086500,1994-09-28,09:30,NA,NA,CDT,T,USGS-WRD,WS,445517400,NA,NA,NA,9,9,9,NA,00608,NA,0.06,NA,CL035,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-09-28T09:30:00Z
USGS,04086500,1994-09-28,09:30,NA,NA,CDT,T,USGS-WRD,WS,445517400,NA,NA,NA,9,9,9,NA,00613,NA,0.03,NA,CL040,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-09-28T09:30:00Z
USGS,04086500,1994-09-28,09:30,NA,NA,CDT,T,USGS-WRD,WS,445517400,NA,NA,NA,9,9,9,NA,00618,NA,1.17,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-09-28T09:30:00Z
USGS,04086500,1994-09-28,09:30,NA,NA,CDT,T,USGS-WRD,WS,445517400,NA,NA,NA,9,9,9,NA,00623,NA,0.4,NA,CL061,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-09-28T09:30:00Z
USGS,04086500,1994-09-28,09:30,NA,NA,CDT,T,USGS-WRD,WS,445517400,NA,NA,NA,9,9,9,NA,00625,NA,0.5,NA,KJ006,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-09-28T09:30:00Z
USGS,04086500,1994-09-28,09:30,NA,NA,CDT,T,USGS-WRD,WS,445517400,NA,NA,NA,9,9,9,NA,00631,NA,1.2,NA,CL045,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-09-28T09:30:00Z
USGS,04086500,2002-05-23,09:45,NA,NA,CDT,T,USGS-WRD,WS,445517223,NA,NA,NA,A,9,9,NA,00600,NA,2.6,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-05-23T09:45:00Z
USGS,04086500,2002-05-23,09:45,NA,NA,CDT,T,USGS-WRD,WS,445517223,NA,NA,NA,A,9,9,NA,00605,NA,1,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-05-23T09:45:00Z
USGS,04086500,2002-05-23,09:45,NA,NA,CDT,T,USGS-WRD,WS,445517223,NA,NA,NA,A,9,9,NA,00608,NA,0.119,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-05-23T09:45:00Z
USGS,04086500,2002-05-23,09:45,NA,NA,CDT,T,USGS-WRD,WS,445517223,NA,NA,NA,A,9,9,NA,00625,NA,1.1,NA,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002-05-23T09:45:00Z
