agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime
USGS,05114000,1972-04-19,17:00,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.23,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1972-04-19T17:00:00Z
USGS,05114000,1973-05-08,12:00,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.23,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-05-08T12:00:00Z
USGS,05114000,1973-07-03,12:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.56,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-07-03T12:15:00Z
USGS,05114000,1973-11-06,11:45,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.23,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-11-06T11:45:00Z
USGS,05114000,1973-12-07,13:00,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.23,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-12-07T13:00:00Z
USGS,05114000,1974-02-08,11:30,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,1.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-02-08T11:30:00Z
USGS,05114000,1974-03-05,11:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00600,NA,2.6,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-03-05T11:15:00Z
USGS,05114000,1974-03-05,11:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00605,NA,1.1,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-03-05T11:15:00Z
USGS,05114000,1974-03-05,11:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00610,NA,0.78,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-03-05T11:15:00Z
USGS,05114000,1974-03-05,11:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,1.5,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-03-05T11:15:00Z
USGS,05114000,1974-03-05,11:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,1.9,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-03-05T11:15:00Z
USGS,05114000,1974-03-05,11:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00630,NA,0.66,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-03-05T11:15:00Z
USGS,05114000,1974-03-05,11:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,71887,NA,11,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-03-05T11:15:00Z
USGS,05114000,1974-03-20,13:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00600,NA,3.8,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-03-20T13:15:00Z
USGS,05114000,1974-03-20,13:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00605,NA,1.1,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-03-20T13:15:00Z
USGS,05114000,1974-03-20,13:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00610,NA,2.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-03-20T13:15:00Z
USGS,05114000,1974-03-20,13:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,3.4,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-03-20T13:15:00Z
USGS,05114000,1974-03-20,13:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00630,NA,0.41,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-03-20T13:15:00Z
USGS,05114000,1974-03-20,13:15,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,71887,NA,17,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-03-20T13:15:00Z
USGS,05114000,1974-04-05,11:00,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00600,NA,2.1,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-05T11:00:00Z
USGS,05114000,1974-04-05,11:00,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00605,NA,0.94,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-05T11:00:00Z
USGS,05114000,1974-04-05,11:00,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00610,NA,0.76,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-05T11:00:00Z
USGS,05114000,1974-04-05,11:00,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.56,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-05T11:00:00Z
USGS,05114000,1974-04-05,11:00,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,1.7,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-05T11:00:00Z
USGS,05114000,1974-04-05,11:00,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00630,NA,0.41,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-05T11:00:00Z
USGS,05114000,1974-04-05,11:00,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,71887,NA,9.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-05T11:00:00Z
USGS,05114000,1974-04-16,16:45,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00600,NA,2.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-16T16:45:00Z
USGS,05114000,1974-04-16,16:45,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00605,NA,1.4,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-16T16:45:00Z
USGS,05114000,1974-04-16,16:45,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00610,NA,0.32,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-16T16:45:00Z
USGS,05114000,1974-04-16,16:45,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,1.7,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-16T16:45:00Z
USGS,05114000,1974-04-16,16:45,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00630,NA,0.55,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-16T16:45:00Z
USGS,05114000,1974-04-16,16:45,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,71887,NA,10,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1974-04-16T16:45:00Z
