agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime
USGS,05464302,2000-11-15,08:51,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3250084 tpc=100ml, pic=100ml, poc=100ml chy=100ml | L-3250084 pic not marked on asr",00600,NA,7.4,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-15T08:51:00Z
USGS,05464302,2000-11-15,08:51,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3250084 tpc=100ml, pic=100ml, poc=100ml chy=100ml | L-3250084 pic not marked on asr",00602,NA,7.3,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-15T08:51:00Z
USGS,05464302,2000-11-15,08:51,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3250084 tpc=100ml, pic=100ml, poc=100ml chy=100ml | L-3250084 pic not marked on asr",00605,E,0.65,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-15T08:51:00Z
USGS,05464302,2000-11-15,08:51,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3250084 tpc=100ml, pic=100ml, poc=100ml chy=100ml | L-3250084 pic not marked on asr",00607,E,0.39,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-15T08:51:00Z
USGS,05464302,2000-11-15,08:51,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3250084 tpc=100ml, pic=100ml, poc=100ml chy=100ml | L-3250084 pic not marked on asr",00608,E,0.03,NA,CL037,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-15T08:51:00Z
USGS,05464302,2000-11-15,08:51,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3250084 tpc=100ml, pic=100ml, poc=100ml chy=100ml | L-3250084 pic not marked on asr",00613,NA,0.015,NA,CL041,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-15T08:51:00Z
USGS,05464302,2000-11-15,08:51,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3250084 tpc=100ml, pic=100ml, poc=100ml chy=100ml | L-3250084 pic not marked on asr",00618,NA,6.82,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-15T08:51:00Z
USGS,05464302,2000-11-15,08:51,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3250084 tpc=100ml, pic=100ml, poc=100ml chy=100ml | L-3250084 pic not marked on asr",00623,NA,0.42,NA,KJ002,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-15T08:51:00Z
USGS,05464302,2000-11-15,08:51,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3250084 tpc=100ml, pic=100ml, poc=100ml chy=100ml | L-3250084 pic not marked on asr",00625,NA,0.68,NA,KJ008,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-15T08:51:00Z
USGS,05464302,2000-11-15,08:51,NA,NA,CST,T,USGS-WRD,WS,461907400,NA,NA,NA,4,9,9,"A-3250084 tpc=100ml, pic=100ml, poc=100ml chy=100ml | L-3250084 pic not marked on asr",00631,NA,6.83,NA,CL048,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2000-11-15T08:51:00Z
