agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime
USGS,03352875,1994-03-01,14:10,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,9,9,9,NA,00600,NA,2.3,NA,ALGOR,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-03-01T14:10:00Z
USGS,03352875,1994-03-01,14:10,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,9,9,9,NA,00602,NA,2,NA,ALGOR,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-03-01T14:10:00Z
USGS,03352875,1994-03-01,14:10,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,9,9,9,NA,00605,NA,0.56,NA,ALGOR,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-03-01T14:10:00Z
USGS,03352875,1994-03-01,14:10,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,9,9,9,NA,00607,NA,0.26,NA,ALGOR,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-03-01T14:10:00Z
USGS,03352875,1994-03-01,14:10,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,9,9,9,NA,00608,NA,0.04,NA,CL035,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-03-01T14:10:00Z
USGS,03352875,1994-03-01,14:10,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,9,9,9,NA,00613,NA,0.01,NA,CL040,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-03-01T14:10:00Z
USGS,03352875,1994-03-01,14:10,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,9,9,9,NA,00618,NA,1.69,NA,ALGOR,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-03-01T14:10:00Z
USGS,03352875,1994-03-01,14:10,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,9,9,9,NA,00623,NA,0.3,NA,CL061,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-03-01T14:10:00Z
USGS,03352875,1994-03-01,14:10,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,9,9,9,NA,00625,NA,0.6,NA,KJ006,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-03-01T14:10:00Z
USGS,03352875,1994-03-01,14:10,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,9,9,9,NA,00631,NA,1.7,NA,CL045,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-03-01T14:10:00Z
USGS,03352875,1994-03-01,14:10,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,9,9,9,NA,70953,NA,6,NA,LC025,S,NA,NA,NA,NA,NA,NA,NA, Bias correction applied. ,NA,1994-03-01T14:10:00Z
USGS,03352875,1994-03-01,14:10,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,9,9,9,NA,70954,NA,0.9,NA,LC025,S,NA,NA,NA,NA,NA,NA,NA, Bias correction applied. ,NA,1994-03-01T14:10:00Z
USGS,03352875,1994-08-23,11:00,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,4,9,9,NA,00600,NA,2.1,NA,ALGOR,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-08-23T11:00:00Z
USGS,03352875,1994-08-23,11:00,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,4,9,9,NA,00602,NA,1.4,NA,ALGOR,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-08-23T11:00:00Z
USGS,03352875,1994-08-23,11:00,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,4,9,9,NA,00605,NA,1.1,NA,ALGOR,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-08-23T11:00:00Z
USGS,03352875,1994-08-23,11:00,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,4,9,9,NA,00607,NA,0.43,NA,ALGOR,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-08-23T11:00:00Z
USGS,03352875,1994-08-23,11:00,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,4,9,9,NA,00608,NA,0.27,NA,CL035,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-08-23T11:00:00Z
USGS,03352875,1994-08-23,11:00,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,4,9,9,NA,00613,NA,0.02,NA,CL040,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-08-23T11:00:00Z
USGS,03352875,1994-08-23,11:00,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,4,9,9,NA,00618,NA,0.65,NA,ALGOR,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-08-23T11:00:00Z
USGS,03352875,1994-08-23,11:00,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,4,9,9,NA,00623,NA,0.7,NA,CL061,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-08-23T11:00:00Z
USGS,03352875,1994-08-23,11:00,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,4,9,9,NA,00625,NA,1.4,NA,KJ006,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-08-23T11:00:00Z
USGS,03352875,1994-08-23,11:00,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,4,9,9,NA,00631,NA,0.67,NA,CL045,S,NA,NA,NA,NA,NA,NA,NA,NA,NA,1994-08-23T11:00:00Z
USGS,03352875,1994-08-23,11:00,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,4,9,9,NA,70953,NA,11,NA,LC025,S,NA,NA,NA,NA,NA,NA,NA, Bias correction applied. ,NA,1994-08-23T11:00:00Z
USGS,03352875,1994-08-23,11:00,NA,NA,EST,T,USGS-WRD,WS,441811800,NA,NA,NA,4,9,9,NA,70954,NA,1.7,NA,LC025,S,NA,NA,NA,NA,NA,NA,NA, Bias correction applied. ,NA,1994-08-23T11:00:00Z
USGS,03352875,2013-05-10,10:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001554; USGSTXAL Lab ID: 13135019,00608,NA,0.02,n,SHC02,R,0.01,LT-MDL,NA,NA,NA,KONE13136A,20130516,NA,USGSNWQL,2013-05-10T10:30:00Z
USGS,03352875,2013-05-10,10:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001554; USGSTXAL Lab ID: 13135019,00613,NA,0.025,NA,DZ001,R,0.001,LT-MDL,NA,NA,NA,KONE13136A,20130516,"Report level code updated Oct., Nov. 2015. Reference: OWQ TM 2010.07 (RLC: IRL => LT-MDL)",USGSNWQL,2013-05-10T10:30:00Z
USGS,03352875,2013-05-10,10:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001554; USGSTXAL Lab ID: 13135019,00618,NA,2.25,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-10T10:30:00Z
USGS,03352875,2013-05-10,10:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001554; USGSTXAL Lab ID: 13135019,00631,NA,2.28,NA,RED01,R,0.04,LT-MDL,NA,NA,NA,KNO313141A,20130521,"Report level code updated Oct., Nov. 2015. Reference: NWQL Rapi-Note 2011-21 (RLC: IRL => LT-MDL)",USGSNWQL,2013-05-10T10:30:00Z
USGS,03352875,2013-05-10,10:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001554; USGSTXAL Lab ID: 13135019,62855,NA,1.88,NA,AKP01,R,0.05,LT-MDL,NA,NA,NA,PTNP141A,20130523,NA,USGSNWQL,2013-05-10T10:30:00Z
USGS,03352875,2013-05-13,08:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001543; USGSTXAL Lab ID: 13135013,00605,NA,0.53,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-13T08:30:00Z
USGS,03352875,2013-05-13,08:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001543; USGSTXAL Lab ID: 13135013,00608,NA,0.04,NA,SHC02,R,0.01,LT-MDL,NA,NA,NA,KONE13136A,20130516,NA,USGSNWQL,2013-05-13T08:30:00Z
USGS,03352875,2013-05-13,08:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001543; USGSTXAL Lab ID: 13135013,00613,NA,0.024,NA,DZ001,R,0.001,LT-MDL,NA,NA,NA,KONE13136A,20130516,"Report level code updated Oct., Nov. 2015. Reference: OWQ TM 2010.07 (RLC: IRL => LT-MDL)",USGSNWQL,2013-05-13T08:30:00Z
USGS,03352875,2013-05-13,08:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001543; USGSTXAL Lab ID: 13135013,00618,NA,1.44,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-13T08:30:00Z
USGS,03352875,2013-05-13,08:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001543; USGSTXAL Lab ID: 13135013,00631,NA,1.46,NA,RED01,R,0.04,LT-MDL,NA,NA,NA,KNO313141A,20130521,"Report level code updated Oct., Nov. 2015. Reference: NWQL Rapi-Note 2011-21 (RLC: IRL => LT-MDL)",USGSNWQL,2013-05-13T08:30:00Z
USGS,03352875,2013-05-13,08:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001543; USGSTXAL Lab ID: 13135013,62855,NA,2.03,NA,AKP01,R,0.05,LT-MDL,NA,NA,NA,PTNP141A,20130523,NA,USGSNWQL,2013-05-13T08:30:00Z
USGS,03352875,2013-05-20,10:00,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001549; USGSTXAL Lab ID: 13141026,00605,NA,0.52,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-20T10:00:00Z
USGS,03352875,2013-05-20,10:00,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001549; USGSTXAL Lab ID: 13141026,00608,NA,0.04,NA,SHC02,R,0.01,LT-MDL,NA,NA,NA,KONE13142A,20130522,NA,USGSNWQL,2013-05-20T10:00:00Z
USGS,03352875,2013-05-20,10:00,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001549; USGSTXAL Lab ID: 13141026,00613,NA,0.021,NA,DZ001,R,0.001,LT-MDL,NA,NA,NA,KONE13142A,20130522,"Report level code updated Oct., Nov. 2015. Reference: OWQ TM 2010.07 (RLC: IRL => LT-MDL)",USGSNWQL,2013-05-20T10:00:00Z
USGS,03352875,2013-05-20,10:00,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001549; USGSTXAL Lab ID: 13141026,00618,NA,1.13,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-05-20T10:00:00Z
USGS,03352875,2013-05-20,10:00,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001549; USGSTXAL Lab ID: 13141026,00631,NA,1.15,NA,RED01,R,0.04,LT-MDL,NA,NA,NA,KNO313143A,20130523,"Report level code updated Oct., Nov. 2015. Reference: NWQL Rapi-Note 2011-21 (RLC: IRL => LT-MDL)",USGSNWQL,2013-05-20T10:00:00Z
USGS,03352875,2013-05-20,10:00,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001549; USGSTXAL Lab ID: 13141026,62855,NA,1.71,NA,AKP01,R,0.05,LT-MDL,NA,NA,NA,PTNP148C,20130603,NA,USGSNWQL,2013-05-20T10:00:00Z
USGS,03352875,2013-05-20,10:00,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,Bottle Bar Code: 1001549; USGSTXAL Lab ID: 13141026,70953,NA,12.6,NA,00050,R,0.1,LRL,NA,201316309,20130612,13T163CA,20130612,NA,USGSNWQL,2013-05-20T10:00:00Z
USGS,03352875,2013-06-03,08:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,5,9,9,Bottle Bar Code: 1002001; USGSTXAL Lab ID: 13155028,00605,NA,0.47,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-03T08:30:00Z
USGS,03352875,2013-06-03,08:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,5,9,9,Bottle Bar Code: 1002001; USGSTXAL Lab ID: 13155028,00608,NA,0.07,NA,SHC02,R,0.01,LT-MDL,NA,NA,NA,KONE13158A,20130607,NA,USGSNWQL,2013-06-03T08:30:00Z
USGS,03352875,2013-06-03,08:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,5,9,9,Bottle Bar Code: 1002001; USGSTXAL Lab ID: 13155028,00613,NA,0.042,NA,DZ001,R,0.001,LT-MDL,NA,NA,NA,KONE13158A,20130607,"Report level code updated Oct., Nov. 2015. Reference: OWQ TM 2010.07 (RLC: IRL => LT-MDL)",USGSNWQL,2013-06-03T08:30:00Z
USGS,03352875,2013-06-03,08:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,5,9,9,Bottle Bar Code: 1002001; USGSTXAL Lab ID: 13155028,00618,NA,2.05,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-03T08:30:00Z
USGS,03352875,2013-06-03,08:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,5,9,9,Bottle Bar Code: 1002001; USGSTXAL Lab ID: 13155028,00631,NA,2.09,NA,RED01,R,0.04,LT-MDL,NA,NA,NA,KNO313158A,20130607,"Report level code updated Oct., Nov. 2015. Reference: NWQL Rapi-Note 2011-21 (RLC: IRL => LT-MDL)",USGSNWQL,2013-06-03T08:30:00Z
USGS,03352875,2013-06-03,08:30,NA,NA,EST,K,USGS-WRD,WS,NA,NA,NA,NA,5,9,9,Bottle Bar Code: 1002001; USGSTXAL Lab ID: 13155028,62855,NA,2.63,NA,AKP01,R,0.05,LT-MDL,NA,NA,NA,PTNP161C,20130618,NA,USGSNWQL,2013-06-03T08:30:00Z
USGS,03352875,2013-06-10,09:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,A,9,9,Bottle Bar Code: 000000; USGSTXAL Lab ID: 13162011_DL10,00605,NA,0.81,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-10T09:00:00Z
USGS,03352875,2013-06-10,09:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,A,9,9,Bottle Bar Code: 000000; USGSTXAL Lab ID: 13162011_DL10,00608,NA,0.19,NA,SHC02,R,0.01,LT-MDL,NA,NA,NA,KONE13163A,20130612,NA,USGSNWQL,2013-06-10T09:00:00Z
USGS,03352875,2013-06-10,09:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,A,9,9,Bottle Bar Code: 000000; USGSTXAL Lab ID: 13162011_DL10,00613,NA,0.038,NA,DZ001,R,0.001,LT-MDL,NA,NA,NA,KONE13163A,20130612,"Report level code updated Oct., Nov. 2015. Reference: OWQ TM 2010.07 (RLC: IRL => LT-MDL)",USGSNWQL,2013-06-10T09:00:00Z
USGS,03352875,2013-06-10,09:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,A,9,9,Bottle Bar Code: 000000; USGSTXAL Lab ID: 13162011_DL10,00618,NA,0.941,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-10T09:00:00Z
USGS,03352875,2013-06-10,09:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,A,9,9,Bottle Bar Code: 000000; USGSTXAL Lab ID: 13162011_DL10,00631,NA,0.979,NA,RED01,R,0.04,LT-MDL,NA,NA,NA,KNO313164A,20130613,"Report level code updated Oct., Nov. 2015. Reference: NWQL Rapi-Note 2011-21 (RLC: IRL => LT-MDL)",USGSNWQL,2013-06-10T09:00:00Z
USGS,03352875,2013-06-10,09:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,A,9,9,Bottle Bar Code: 000000; USGSTXAL Lab ID: 13162011_DL10,62855,NA,1.98,NA,AKP01,R,0.05,LT-MDL,NA,NA,NA,PTNP169B,20130625,NA,USGSNWQL,2013-06-10T09:00:00Z
USGS,03352875,2013-06-17,10:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,4,9,9,Bottle Bar Code: 1002699; USGSTXAL Lab ID: 13169045,00605,NA,0.39,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-17T10:00:00Z
USGS,03352875,2013-06-17,10:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,4,9,9,Bottle Bar Code: 1002699; USGSTXAL Lab ID: 13169045,00608,NA,0.06,NA,SHC02,R,0.01,LT-MDL,NA,NA,NA,KONE13172A,20130621,NA,USGSNWQL,2013-06-17T10:00:00Z
USGS,03352875,2013-06-17,10:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,4,9,9,Bottle Bar Code: 1002699; USGSTXAL Lab ID: 13169045,00613,NA,0.03,NA,DZ001,R,0.001,LT-MDL,NA,NA,NA,KONE13172A,20130621,"Report level code updated Oct., Nov. 2015. Reference: OWQ TM 2010.07 (RLC: IRL => LT-MDL)",USGSNWQL,2013-06-17T10:00:00Z
USGS,03352875,2013-06-17,10:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,4,9,9,Bottle Bar Code: 1002699; USGSTXAL Lab ID: 13169045,00618,NA,1.35,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-17T10:00:00Z
USGS,03352875,2013-06-17,10:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,4,9,9,Bottle Bar Code: 1002699; USGSTXAL Lab ID: 13169045,00631,NA,1.38,NA,RED01,R,0.04,LT-MDL,NA,NA,NA,KNO313172A,20130621,"Report level code updated Oct., Nov. 2015. Reference: NWQL Rapi-Note 2011-21 (RLC: IRL => LT-MDL)",USGSNWQL,2013-06-17T10:00:00Z
USGS,03352875,2013-06-17,10:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,4,9,9,Bottle Bar Code: 1002699; USGSTXAL Lab ID: 13169045,62855,NA,1.82,NA,AKP01,R,0.05,LT-MDL,NA,NA,NA,PTNP184C,20130708,NA,USGSNWQL,2013-06-17T10:00:00Z
USGS,03352875,2013-06-24,10:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,5,7,9,Bottle Bar Code: 1002630; USGSTXAL Lab ID: 13176034,00605,NA,0.46,NA,ALGOR,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013-06-24T10:00:00Z
USGS,03352875,2013-06-24,10:00,NA,NA,EST,K,USGS-WRD,WS,0CRM43100,NA,NA,NA,5,7,9,Bottle Bar Code: 1002630; USGSTXAL Lab ID: 13176034,00608,NA,0.07,NA,SHC02,R,0.01,LT-MDL,NA,NA,NA,KONE13177A,20130626,NA,USGSNWQL,2013-06-24T10:00:00Z
