agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime,endDateTime
USGS,03609750,1973-12-18,NA,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00600,NA,0.24,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1973-12-18,NA,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00615,<,0.01,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1973-12-18,NA,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.01,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1973-12-18,NA,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,0.23,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1973-12-18,NA,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00630,NA,0.01,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1973-12-18,NA,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,71887,NA,1.1,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-01-24,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00600,NA,0.73,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-01-24,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00615,NA,0.01,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-01-24,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.51,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-01-24,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,0.21,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-01-24,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00630,NA,0.52,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-01-24,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,71887,NA,3.2,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-02-05,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00600,NA,0.86,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-02-05,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00615,<,0.01,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-02-05,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.6,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-02-05,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,0.26,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-02-05,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00630,NA,0.6,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-02-05,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,71887,NA,3.8,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-03-13,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00600,NA,0.72,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-03-13,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00615,NA,0.01,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-03-13,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.55,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-03-13,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,0.16,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-03-13,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00630,NA,0.56,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-03-13,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,71887,NA,3.2,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-04-17,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00600,NA,0.59,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-04-17,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00615,<,0.01,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-04-17,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.47,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-04-17,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,0.12,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-04-17,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00630,NA,0.47,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-04-17,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,71887,NA,2.6,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-05-08,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00600,NA,0.36,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-05-08,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00615,NA,0.01,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-05-08,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.12,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,03609750,1974-05-08,NA,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,0.23,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
