agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime,endDateTime
USGS,04087000,1966-10-25,NA,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.429,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,04087000,1967-04-23,NA,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.655,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,04087000,1973-01-25,12:30,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-01-25T12:30:00Z,NA
USGS,04087000,1973-01-25,12:30,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,0.11,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-01-25T12:30:00Z,NA
USGS,04087000,1973-02-22,14:00,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-02-22T14:00:00Z,NA
USGS,04087000,1973-02-22,14:00,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,1.5,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-02-22T14:00:00Z,NA
USGS,04087000,1973-03-20,10:00,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.7,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-03-20T10:00:00Z,NA
USGS,04087000,1973-03-20,10:00,NA,NA,CST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,1.2,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-03-20T10:00:00Z,NA
USGS,04087000,1973-04-30,13:00,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.8,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-04-30T13:00:00Z,NA
USGS,04087000,1973-04-30,13:00,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,1.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-04-30T13:00:00Z,NA
USGS,04087000,1973-05-24,10:30,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.8,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-05-24T10:30:00Z,NA
USGS,04087000,1973-05-24,10:30,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,1.2,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-05-24T10:30:00Z,NA
USGS,04087000,1973-06-19,12:00,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.7,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-06-19T12:00:00Z,NA
USGS,04087000,1973-06-19,12:00,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,1.9,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-06-19T12:00:00Z,NA
USGS,04087000,1973-07-31,10:00,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.1,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-07-31T10:00:00Z,NA
USGS,04087000,1973-07-31,10:00,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,1.7,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-07-31T10:00:00Z,NA
USGS,04087000,1973-08-14,10:00,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.1,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-08-14T10:00:00Z,NA
USGS,04087000,1973-08-14,10:00,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,1.7,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-08-14T10:00:00Z,NA
USGS,04087000,1973-08-15,10:00,NA,NA,CDT,K,USGS-WRD,SB,NA,NA,NA,NA,A,9,9,NA,00603,NA,380,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-08-15T10:00:00Z,NA
USGS,04087000,1973-08-15,10:00,NA,NA,CDT,K,USGS-WRD,SB,NA,NA,NA,NA,A,9,9,NA,00633,M,NA,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-08-15T10:00:00Z,NA
USGS,04087000,1973-09-19,14:30,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-09-19T14:30:00Z,NA
USGS,04087000,1973-09-19,14:30,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,0.86,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-09-19T14:30:00Z,NA
USGS,04087000,1973-10-12,08:00,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-10-12T08:00:00Z,NA
USGS,04087000,1973-10-12,08:00,NA,NA,CDT,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,1.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1973-10-12T08:00:00Z,NA
