agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime
USGS,05549500,1988-07-26,07:35,NA,NA,CST,T,USGSILWC,WS,441707500,NA,NA,NA,A,9,9,NA,00600,<,3.8,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-07-26T07:35:00Z
USGS,05549500,1988-07-26,07:35,NA,NA,CST,T,USGSILWC,WS,441707500,NA,NA,NA,A,9,9,NA,00602,<,3,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-07-26T07:35:00Z
USGS,05549500,1988-07-26,07:35,NA,NA,CST,T,USGSILWC,WS,441707500,NA,NA,NA,A,9,9,NA,00605,NA,3.7,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-07-26T07:35:00Z
USGS,05549500,1988-07-26,07:35,NA,NA,CST,T,USGSILWC,WS,441707500,NA,NA,NA,A,9,9,NA,00607,NA,2.9,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-07-26T07:35:00Z
USGS,05549500,1988-07-26,07:35,NA,NA,CST,T,USGSILWC,WS,441707500,NA,NA,NA,A,9,9,NA,00608,NA,0.04,NA,CL035,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-07-26T07:35:00Z
USGS,05549500,1988-07-26,07:35,NA,NA,CST,T,USGSILWC,WS,441707500,NA,NA,NA,A,9,9,NA,00613,<,0.01,NA,CL040,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-07-26T07:35:00Z
USGS,05549500,1988-07-26,07:35,NA,NA,CST,T,USGSILWC,WS,441707500,NA,NA,NA,A,9,9,NA,00618,<,0.1,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-07-26T07:35:00Z
USGS,05549500,1988-07-26,07:35,NA,NA,CST,T,USGSILWC,WS,441707500,NA,NA,NA,A,9,9,NA,00623,NA,2.9,NA,CL051,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-07-26T07:35:00Z
USGS,05549500,1988-07-26,07:35,NA,NA,CST,T,USGSILWC,WS,441707500,NA,NA,NA,A,9,9,NA,00625,NA,3.7,NA,CL083,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-07-26T07:35:00Z
USGS,05549500,1988-07-26,07:35,NA,NA,CST,T,USGSILWC,WS,441707500,NA,NA,NA,A,9,9,NA,00631,<,0.1,NA,CL045,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1988-07-26T07:35:00Z
