agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime,endDateTime
USGS,01594440,1978-01-30,15:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00600,NA,2.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-01-30T15:15:00Z,NA
USGS,01594440,1978-01-30,15:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00605,NA,0.54,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-01-30T15:15:00Z,NA
USGS,01594440,1978-01-30,15:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00610,NA,0.56,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-01-30T15:15:00Z,NA
USGS,01594440,1978-01-30,15:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00623,NA,1.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-01-30T15:15:00Z,NA
USGS,01594440,1978-01-30,15:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00624,NA,0,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-01-30T15:15:00Z,NA
USGS,01594440,1978-01-30,15:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,1.1,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-01-30T15:15:00Z,NA
USGS,01594440,1978-01-30,15:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00630,NA,1.2,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-01-30T15:15:00Z,NA
USGS,01594440,1978-01-30,15:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,71887,NA,10,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-01-30T15:15:00Z,NA
USGS,01594440,1978-03-14,14:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00600,NA,2.8,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-03-14T14:15:00Z,NA
USGS,01594440,1978-03-14,14:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00605,NA,0.72,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-03-14T14:15:00Z,NA
USGS,01594440,1978-03-14,14:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00610,NA,0.78,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-03-14T14:15:00Z,NA
USGS,01594440,1978-03-14,14:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00623,NA,1.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-03-14T14:15:00Z,NA
USGS,01594440,1978-03-14,14:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00624,NA,0.2,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-03-14T14:15:00Z,NA
USGS,01594440,1978-03-14,14:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,1.5,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-03-14T14:15:00Z,NA
USGS,01594440,1978-03-14,14:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00630,NA,1.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-03-14T14:15:00Z,NA
USGS,01594440,1978-03-14,14:15,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,71887,NA,12,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-03-14T14:15:00Z,NA
USGS,01594440,1978-04-11,14:45,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00610,NA,0.81,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-04-11T14:45:00Z,NA
USGS,01594440,1978-04-11,14:45,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00623,NA,1.3,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-04-11T14:45:00Z,NA
USGS,01594440,1978-04-11,14:45,NA,NA,EST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00630,NA,1.7,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-04-11T14:45:00Z,NA
USGS,01594440,1978-05-10,12:15,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00600,NA,1.9,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-05-10T12:15:00Z,NA
USGS,01594440,1978-05-10,12:15,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00605,NA,0.69,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-05-10T12:15:00Z,NA
USGS,01594440,1978-05-10,12:15,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00610,NA,0.27,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-05-10T12:15:00Z,NA
USGS,01594440,1978-05-10,12:15,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00623,NA,1.9,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-05-10T12:15:00Z,NA
USGS,01594440,1978-05-10,12:15,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00624,NA,0,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-05-10T12:15:00Z,NA
USGS,01594440,1978-05-10,12:15,NA,NA,EST,T,NA,WS,NA,NA,NA,NA,A,9,9,NA,00625,NA,0.96,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1978-05-10T12:15:00Z,NA
