agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime
USGS,05124000,1954-08-12,NA,1954-09-08,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,1.51,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1954-09-10,NA,1954-09-26,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,2.26,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1954-10-01,NA,1954-10-05,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,2.26,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1954-10-06,NA,1954-11-02,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,0.791,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1954-11-03,NA,1954-11-30,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,0.791,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1954-12-01,NA,1954-12-07,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,0.678,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1954-12-08,NA,1954-12-24,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,0.497,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1954-12-25,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.316,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1954-12-26,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.52,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1955-01-09,NA,1955-01-15,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,0.339,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1955-01-25,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.15,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1955-02-26,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.67,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1955-03-09,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.97,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1955-04-05,NA,1955-04-15,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,0.791,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1955-04-16,NA,1955-04-23,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,0.339,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1955-04-24,NA,1955-04-30,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,0.248,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1955-05-01,NA,1955-05-08,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,0.271,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1955-05-09,NA,1955-06-02,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,0.497,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05124000,1955-06-03,NA,1955-06-11,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,H,9,NA,00620,NA,0.655,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
