agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime
USGS,05122000,1970-11-02,17:30,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.23,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-11-02T17:30:00Z
USGS,05122000,1970-12-07,17:00,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.47,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1970-12-07T17:00:00Z
USGS,05122000,1971-01-06,14:20,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.56,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971-01-06T14:20:00Z
USGS,05122000,1971-02-09,15:15,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.56,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971-02-09T15:15:00Z
USGS,05122000,1971-03-12,14:15,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.56,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971-03-12T14:15:00Z
USGS,05122000,1971-04-21,17:30,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.23,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971-04-21T17:30:00Z
USGS,05122000,1971-05-13,11:00,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.45,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971-05-13T11:00:00Z
USGS,05122000,1971-06-03,21:50,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.56,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971-06-03T21:50:00Z
USGS,05122000,1971-07-09,10:00,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.45,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971-07-09T10:00:00Z
USGS,05122000,1971-08-03,17:45,NA,NA,CDT,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00618,NA,0.23,NA,NA,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,1971-08-03T17:45:00Z
