agency_cd,site_no,sample_dt,sample_tm,sample_end_dt,sample_end_tm,sample_start_time_datum_cd,tm_datum_rlbty_cd,coll_ent_cd,medium_cd,project_cd,aqfr_cd,tu_id,body_part_id,hyd_cond_cd,samp_type_cd,hyd_event_cd,sample_lab_cm_tx,parm_cd,remark_cd,result_va,val_qual_tx,meth_cd,dqi_cd,rpt_lev_va,rpt_lev_cd,lab_std_va,prep_set_no,prep_dt,anl_set_no,anl_dt,result_lab_cm_tx,anl_ent_cd,startDateTime
USGS,05120000,1949-10-06,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.13,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1949-12-19,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.49,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1950-02-17,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,2.48,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1950-04-05,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,2.48,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1950-04-20,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.881,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1950-06-09,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.858,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1950-06-23,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.04,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1950-07-27,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.27,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1950-08-23,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.65,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1950-09-28,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.9,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1950-10-28,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.474,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1950-11-30,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.813,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1950-12-22,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,0.904,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1951-01-19,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.24,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1951-02-16,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.2,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USGS,05120000,1951-03-17,NA,NA,NA,CST,T,USGS-WRD,WS,NA,NA,NA,NA,A,9,9,NA,00620,NA,1.56,NA,ALGOR,A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
